index,before_len,time_us
0,18960,26.429
1,18967,26.506
2,18969,66.854
3,18984,20.623
4,19080,24.642
5,19434,19.202
6,18534,17.815
7,18662,22.577
8,18820,20.542
9,18881,21.881
10,18965,19.681
11,18979,18.540
12,19017,19.119
13,19083,25.794
14,19383,23.392
15,19399,23.898
16,19460,22.556
17,19478,20.731
18,19490,22.806
19,19415,19.025
20,19413,21.240
21,19440,18.875
22,19440,18.637
23,19453,33.090
24,23810,46.548
25,24235,30.360
26,24561,27.031
27,24516,36.558
28,23713,27.479
29,23797,25.946
30,23827,24.629
31,23696,25.502
32,23695,32.004
33,23742,27.640
34,23738,27.092
35,23122,24.196
36,23455,24.275
37,23589,23.460
38,23636,24.179
39,23660,45.663
40,23551,23.988
41,24139,22.669
42,24132,23.375
43,24172,24.696
44,24217,27.760
45,25427,23.796
46,11671,15.006
47,11647,11.621
48,11662,11.627
49,11457,12.173
50,11481,11.537
51,11480,17.385
52,12107,14.871
53,11566,11.329
54,11456,11.877
55,11684,11.671
56,11660,31.504
57,12368,16.423
58,12863,12.406
59,12878,14.617
60,13174,13.592
61,13261,15.158
62,13226,15.723
63,13244,15.092
64,12477,14.738
65,12662,13.079
66,12681,13.190
67,12819,13.279
68,12969,12.904
69,13128,15.119
70,13264,19.548
71,13511,16.058
72,13828,19.060
73,13175,17.527
74,13186,14.600
75,13080,26.704
76,11794,17.531
77,11775,14.102
78,11777,16.298
79,12066,15.458
80,12250,13.565
81,12026,12.823
82,12022,14.504
83,11950,14.360
84,12133,12.829
85,12163,14.850
86,12179,14.679
87,12388,13.650
88,12461,12.535
89,12425,12.842
90,12431,17.340
91,11550,15.902
92,11150,14.350
93,11247,13.296
94,11265,18.208
95,11308,21.021
96,11344,12.473
97,11359,16.031
98,11332,14.044
99,11342,12.498
100,11347,14.281
101,11319,12.417
102,11200,14.044
103,11484,12.650
104,11484,18.098
105,11428,13.710
106,10928,12.081
107,10911,11.765
108,10151,15.633
109,9811,10.794
110,9313,14.262
111,9071,10.331
112,8978,13.119
113,9056,10.481
114,9102,10.969
115,9168,17.898
116,8678,12.567
117,8650,13.075
118,9897,13.167
119,9798,11.260
120,10041,11.335
121,9900,13.912
122,9884,13.356
123,9957,11.150
124,10021,10.865
125,9915,12.252
126,9919,11.048
127,9604,10.717
128,9620,12.604
129,9306,10.342
130,9661,11.592
131,9711,12.185
132,12285,12.917
133,12290,16.229
134,12316,12.321
135,12331,14.081
136,12438,13.723
137,12490,13.758
138,12477,13.985
139,12493,12.742
140,12493,13.660
141,12506,12.540
142,12511,13.050
143,12474,15.123
144,12484,18.413
145,12525,14.238
146,12582,15.896
147,12565,13.556
148,12566,13.856
149,12584,12.723
150,12584,13.752
151,12571,13.063
152,12643,21.673
153,11838,15.298
154,11787,12.719
155,11745,13.700
156,11703,13.827
157,11687,12.021
158,11673,14.508
159,11890,12.235
160,11895,13.635
161,11830,13.023
162,11634,11.919
163,11674,13.075
164,11551,15.938
165,11462,11.854
166,11466,14.335
167,8615,10.767
168,8680,9.783
169,8674,9.252
170,8650,11.238
171,50,1.260
172,66,24.604
173,46766,46.392
174,46744,51.560
175,46994,95.306
176,45600,47.267
177,45618,50.254
178,46237,56.990
179,46067,42.690
180,46252,49.567
181,46259,46.796
182,46355,42.527
183,46319,42.806
184,46329,63.610
185,46128,46.027
186,46057,50.302
187,46184,46.904
188,47136,44.058
189,46593,42.083
190,46560,43.571
191,46920,93.877
192,40239,37.881
193,38927,35.219
194,39188,44.013
195,39317,49.413
196,39667,38.094
197,39605,36.663
198,39583,41.612
199,39634,40.879
200,40384,37.090
201,22153,24.758
202,22217,21.950
203,22232,21.975
204,22221,22.267
205,22222,24.900
206,22238,26.029
207,22254,21.817
208,22254,26.238
209,22273,24.333
210,22348,26.179
211,22463,29.604
212,22448,22.521
213,22724,21.621
214,22725,21.408
215,22899,26.733
216,22992,22.046
217,22995,21.825
218,22995,21.646
219,23167,23.852
220,23165,22.385
221,23169,22.381
222,23239,22.156
223,23220,28.204
224,23252,22.473
225,23313,22.642
226,23313,24.479
227,23346,25.856
228,23338,23.069
229,23564,24.067
230,17180,18.460
231,17196,20.469
232,17201,18.004
233,17216,25.133
234,17234,18.577
235,17273,20.367
236,17285,17.819
237,17284,23.794
238,17819,25.083
239,17398,18.792
240,17452,20.896
241,17477,21.929
242,17473,18.279
243,17464,25.512
244,17455,20.685
245,17463,26.808
246,17358,17.833
247,17340,20.681
248,17316,26.137
249,17440,19.844
250,17439,18.163
251,17371,19.444
252,17330,20.833
253,17379,17.710
254,17372,17.315
255,10176,18.060
256,10054,10.425
257,10190,17.885
258,10596,12.342
259,10743,10.729
260,10747,10.604
261,10729,14.081
262,10862,11.838
263,11027,20.346
264,10997,21.954
265,10908,10.863
266,10909,12.860
267,10908,15.769
268,10917,12.471
269,10907,11.856
