index,before_len,time_us
0,18960,61.708
1,18967,84.692
2,18969,63.600
3,18984,72.921
4,19080,1278.760
5,19434,112.987
6,18534,65.450
7,18662,66.190
8,18820,64.848
9,18881,68.204
10,18965,62.877
11,18979,65.285
12,19017,76.252
13,19083,136.306
14,19383,67.373
15,19399,72.404
16,19460,68.585
17,19478,65.694
18,19490,71.904
19,19415,63.902
20,19413,70.725
21,19440,63.008
22,19440,65.206
23,19453,1098.252
24,23810,970.677
25,24235,115.817
26,24561,82.240
27,24516,164.250
28,23713,105.783
29,23797,79.292
30,23827,75.148
31,23696,78.423
32,23695,82.973
33,23742,83.944
34,23738,123.300
35,23122,75.723
36,23455,74.781
37,23589,79.692
38,23636,75.535
39,23660,428.177
40,23551,91.477
41,24139,78.627
42,24132,80.006
43,24172,94.250
44,24217,195.192
45,25427,93.667
46,11671,41.233
47,11647,37.177
48,11662,39.763
49,11457,53.448
50,11481,37.494
51,11480,96.213
52,12107,118.546
53,11566,39.906
54,11456,39.010
55,11684,39.485
56,11660,462.675
57,12368,62.962
58,12863,39.246
59,12878,45.694
60,13174,44.448
61,13261,41.340
62,13226,43.138
63,13244,98.438
64,12477,43.206
65,12662,52.173
66,12681,39.931
67,12819,42.667
68,12969,41.519
69,13128,45.752
70,13264,82.546
71,13511,53.740
72,13828,88.383
73,13175,43.969
74,13186,42.985
75,13080,129.094
76,11794,50.544
77,11775,37.831
78,11777,65.987
79,12066,100.912
80,12250,45.804
81,12026,37.750
82,12022,58.333
83,11950,76.888
84,12133,37.096
85,12163,41.163
86,12179,43.033
87,12388,82.310
88,12461,36.115
89,12425,35.998
90,12431,131.067
91,11550,36.956
92,11150,40.992
93,11247,39.550
94,11265,48.665
95,11308,90.679
96,11344,39.425
97,11359,51.265
98,11332,48.919
99,11342,39.962
100,11347,43.119
101,11319,43.683
102,11200,43.948
103,11484,41.719
104,11484,47.337
105,11428,59.854
106,10928,38.675
107,10911,69.810
108,10151,50.415
109,9811,46.585
110,9313,50.431
111,9071,35.388
112,8978,44.848
113,9056,35.650
114,9102,33.892
115,9168,65.896
116,8678,33.956
117,8650,129.894
118,9897,38.015
119,9798,42.383
120,10041,42.652
121,9900,40.017
122,9884,109.219
123,9957,38.733
124,10021,38.815
125,9915,39.638
126,9919,44.654
127,9604,35.910
128,9620,39.144
129,9306,43.625
130,9661,39.487
131,9711,71.433
132,12285,44.006
133,12290,45.196
134,12316,40.442
135,12331,46.344
136,12438,42.038
137,12490,44.121
138,12477,45.804
139,12493,45.948
140,12493,46.096
141,12506,42.777
142,12511,45.002
143,12474,42.844
144,12484,45.731
145,12525,40.821
146,12582,44.573
147,12565,44.121
148,12566,39.794
149,12584,40.150
150,12584,44.398
151,12571,40.381
152,12643,121.717
153,11838,48.069
154,11787,41.156
155,11745,41.606
156,11703,40.344
157,11687,39.823
158,11673,127.106
159,11890,37.671
160,11895,41.558
161,11830,43.458
162,11634,37.756
163,11674,40.431
164,11551,41.635
165,11462,37.021
166,11466,401.402
167,8615,62.792
168,8680,31.560
169,8674,29.019
170,8650,55.373
171,50,1.346
172,66,999.835
173,46766,152.769
174,46744,194.085
175,46994,1589.927
176,45600,155.685
177,45618,204.873
178,46237,206.523
179,46067,152.715
180,46252,163.825
181,46259,184.379
182,46355,146.160
183,46319,149.175
184,46329,212.183
185,46128,153.456
186,46057,158.129
187,46184,176.477
188,47136,174.792
189,46593,148.563
190,46560,154.781
191,46920,4678.021
192,40239,164.137
193,38927,131.113
194,39188,219.929
195,39317,165.450
196,39667,130.292
197,39605,129.406
198,39583,168.960
199,39634,158.194
200,40384,126.556
201,22153,79.425
202,22217,76.577
203,22232,73.425
204,22221,77.025
205,22222,76.310
206,22238,80.104
207,22254,77.237
208,22254,83.063
209,22273,76.950
210,22348,81.356
211,22463,85.042
212,22448,82.590
213,22724,77.954
214,22725,80.583
215,22899,114.690
216,22992,80.452
217,22995,76.704
218,22995,83.948
219,23167,78.313
220,23165,78.621
221,23169,77.265
222,23239,81.417
223,23220,88.085
224,23252,83.244
225,23313,80.002
226,23313,90.796
227,23346,80.450
228,23338,120.067
229,23564,118.775
230,17180,73.406
231,17196,58.300
232,17201,61.150
233,17216,100.446
234,17234,90.004
235,17273,80.454
236,17285,62.300
237,17284,121.554
238,17819,143.927
239,17398,72.013
240,17452,66.896
241,17477,62.206
242,17473,73.463
243,17464,93.190
244,17455,68.423
245,17463,86.333
246,17358,61.115
247,17340,64.206
248,17316,138.127
249,17440,67.569
250,17439,62.690
251,17371,61.067
252,17330,81.171
253,17379,61.581
254,17372,63.587
255,10176,46.317
256,10054,33.640
257,10190,300.831
258,10596,38.017
259,10743,37.823
260,10747,34.006
261,10729,45.127
262,10862,38.079
263,11027,58.352
264,10997,71.944
265,10908,34.383
266,10909,40.173
267,10908,52.044
268,10917,37.604
269,10907,35.298
